,yearID,teamID,franchID,Rank,DivWin,WCWin,WSWin,name,park,BPF,PPF
51,1876,CHN,CHC,1,,,,Chicago White Stockings,23rd Street Grounds,112,106
52,1876,CN1,CNR,8,,,,Cincinnati Reds,Avenue Grounds,86,95
53,1876,HAR,HAR,2,,,,Hartford Dark Blues,Hartford Ball Club Grounds,110,106
54,1876,LS1,LGR,5,,,,Louisville Grays,Louisville Baseball Park,117,117
55,1876,NY3,NYU,6,,,,New York Mutuals,Union Grounds (Brooklyn),96,100
56,1876,PHN,ATH,7,,,,Philadelphia Athletics,Jefferson Street Grounds,104,104
57,1876,SL3,SBS,3,,,,St. Louis Brown Stockings,Sportsman's Park I,93,92
58,1877,BSN,ATL,1,,,,Boston Red Caps,South End Grounds I,104,100
59,1877,CHN,CHC,5,,,,Chicago White Stockings,23rd Street Grounds,112,106
60,1877,CN1,CNR,6,,,,Cincinnati Reds,Avenue Grounds,89,94
61,1877,HAR,HAR,3,,,,Hartford Dark Blues,Union Grounds (Brooklyn),90,87
62,1877,LS1,LGR,2,,,,Louisville Grays,Louisville Baseball Park,117,117
63,1877,SL3,SBS,4,,,,St. Louis Brown Stockings,Sportsman's Park I,95,93
64,1878,BSN,ATL,1,,,,Boston Red Caps,South End Grounds I,108,102
65,1878,CHN,CHC,4,,,,Chicago White Stockings,Lake Front Park I,106,105
66,1878,CN1,CNR,2,,,,Cincinnati Reds,Avenue Grounds,91,92
67,1878,IN1,IBL,5,,,,Indianapolis Blues,South Street Park,87,89
68,1878,ML2,MLG,6,,,,Milwaukee Grays,Eclipse Park II,106,113
69,1878,PRO,PRO,3,,,,Providence Grays,Messer Street Grounds,100,96
70,1879,BFN,BUF,3,,,,Buffalo Bisons,Riverside Park,102,105
71,1879,BSN,ATL,2,,,,Boston Red Caps,South End Grounds I,102,100
72,1879,CHN,CHC,4,,,,Chicago White Stockings,Lake Front Park I,106,103
73,1879,CL2,CBL,6,,,,Cleveland Blues,Kennard Street Park,99,100
74,1879,CN1,CNR,5,,,,Cincinnati Reds,Avenue Grounds,95,94
75,1879,PRO,PRO,1,,,,Providence Grays,Messer Street Grounds,99,95
76,1879,SR1,SYR,7,,,,Syracuse Stars,Newell Park,89,95
77,1879,TRN,TRT,8,,,,Troy Trojans,Putnam Grounds,93,100
78,1880,BFN,BUF,7,,,,Buffalo Bisons,Riverside Park,102,103
79,1880,BSN,ATL,6,,,,Boston Red Caps,South End Grounds I,97,96
80,1880,CHN,CHC,1,,,,Chicago White Stockings,Lake Front Park I,106,102
81,1880,CL2,CBL,3,,,,Cleveland Blues,Kennard Street Park,98,99
82,1880,CN1,CNR,8,,,,Cincinnati Reds,Bank Street Grounds,98,104
83,1880,PRO,PRO,2,,,,Providence Grays,Messer Street Grounds,97,93
84,1880,TRN,TRT,4,,,,Troy Trojans,Haymakers' Grounds,105,106
85,1880,WOR,WOR,5,,,,Worcester Ruby Legs,Worcester Driving Park Grounds,108,109
86,1881,BFN,BUF,3,,,,Buffalo Bisons,Riverside Park,99,100
87,1881,BSN,ATL,6,,,,Boston Red Caps,South End Grounds I,96,96
88,1881,CHN,CHC,1,,,,Chicago White Stockings,Lake Front Park I,105,99
89,1881,CL2,CBL,7,,,,Cleveland Blues,Kennard Street Park,95,95
90,1881,DTN,DTN,4,,,,Detroit Wolverines,Recreation Park,104,105
91,1881,PRO,PRO,2,,,,Providence Grays,Messer Street Grounds,98,96
92,1881,TRN,TRT,5,,,,Troy Trojans,Haymakers' Grounds,105,106
93,1881,WOR,WOR,8,,,,Worcester Ruby Legs,Worcester Driving Park Grounds,105,108
94,1882,BFN,BUF,3,,,,Buffalo Bisons,Riverside Park,102,101
95,1882,BL2,BLO,6,,,,Baltimore Orioles,Newington Park,90,100
96,1882,BSN,ATL,3,,,,Boston Red Caps,South End Grounds I,100,98
97,1882,CHN,CHC,1,,,,Chicago White Stockings,Lake Front Park I/Lake Front Park II,105,99
98,1882,CL2,CBL,5,,,,Cleveland Blues,Kennard Street Park,97,97
99,1882,CN2,CIN,1,,,,Cincinnati Red Stockings,Bank Street Grounds,106,99
100,1882,DTN,DTN,5,,,,Detroit Wolverines,Recreation Park,100,101
101,1882,LS2,LOU,2,,,,Louisville Eclipse,Eclipse Park I,95,93
